ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
1,18-24,2019-12-15T18:35:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.51474,0.005317,955312,On or near Wharfside Road,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
2,18-24,2019-12-15T18:49:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.51474,0.005317,955312,On or near Wharfside Road,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
3,18-24,2019-12-18T23:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.51474,0.005317,955312,On or near Wharfside Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
4,18-24,2019-12-19T00:26:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.51474,0.005317,955312,On or near Wharfside Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
5,18-24,2019-12-28T16:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.53711,0.013928,963709,On or near Portway,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
6,25-34,2019-12-14T12:15:00+00:00,Male,TRUE,Firearms Act 1968 (section 47),51.526086,0.030035,962307,On or near Barking Road,Firearms,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
7,null,2019-12-27T23:11:00+00:00,null,FALSE,Misuse of Drugs Act 1971 (section 23),51.532838,0.022319,963675,On or near Terrace Road,Controlled drugs,null,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,null,Vehicle search
8,over 34,2019-12-01T13:41:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.520194,0.012894,962043,On or near Ohio Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
9,Oct-17,2019-12-01T13:27:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.520111,0.01044,962034,On or near Tyas Road,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
10,25-34,2019-12-01T13:39:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.519614,0.021546,962097,On or near Tinto Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
11,25-34,2019-12-01T13:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.520982,0.0225,962107,On or near Jutland Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person and Vehicle search
12,18-24,2019-12-01T12:55:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
13,Oct-17,2019-12-01T13:25:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.520111,0.01044,962034,On or near Tyas Road,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
14,Oct-17,2019-12-01T15:00:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.533481,0.028793,963431,On or near Kings Court,Offensive weapons,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
15,Oct-17,2019-12-02T12:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.516832,0.014936,962173,On or near Pedestrian Subway,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
16,18-24,2019-12-02T12:05:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.528162,0.006051,962149,On or near Durban Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
